Arabic,English
من,from
في,in
أن,
هذا,This is
على,On
ما,What is
أنا,I am
هل,Is
و,and
يا,ya
ذلك,That's
لقد,It has
لم,No.
ماذا,What
كان,It was
هنا,Here
إلى,To
أنت,You are
هو,It is
هذه,This is
عن,About
نعم,Yes
ان,
هناك,"There are ,"
كل,All
حسناً,"Okay,"
ليس,Not
كنت,I was
فقط,Only
شيء,Something
الآن,Now
مع,With
الذي,The one
لكن,But
أجل,"Yes,"
لك,Yours
يجب,
لن,
كيف,How
حسنا,Okay
انا,I am
لي,Lee
إنه,It is
سوف,Will
نحن,We are
إذا,If
كانت,It was
عندما,When
أي,i.e.
قد,May
لماذا,Why
هي,It is
الأمر,Order
أنه,It is
فى,In
حتى,Up to
بعد,After
كذلك,Also
أو,or
ولكن,But
قبل,Before
التي,Which
انه,It is
إنها,It is
ـ,
لو,Lo
ربما,Maybe
أين,Where is
هيا,Haya
تلك,Those
أعرف,I know
الى,To
إن,
يكون,
بعض,Some
أريد,I want
أعتقد,I think
انت,You are
عليك,You need
مثل,Like
صحيح,Correct
به,
أنك,You are
الوقت,Time
بخير,Okay
أعلم,I know
أحد,One of
شخص,people
جداً,Very
رجل,Man
شكراً,Thank you
لذا,So
يمكن,
كما,As well as
كلا,"No,"
أكثر,"More than ,"
يبدو,It appears
جيد,Good
تكون,It is
